HOST	PAGEGROUPNAME	FREQ	DURATION	REQUESTSTART
"dservice.google.com"	Product Detail Page	135363	313.653	4589.177
"tpc.googlesyndication.com"	sale event landing	132822	320.644	101918.799
"assets.pinterest.com"	Product Detail Page	132246	406.171	55.217
"sb.scorecardresearch.com"	search	131715	273.523	49.604
"googleads.g.doubleclick.net"	homepage	131516	505.845	10033.511
"www.google-analytics.com"	search	130268	220.096	2186.328
"googleads.g.doubleclick.net"	search	129379	362.716	2061.161
"checkout"	ShoppingBag	129201	203.418	792.211
"connect.facebook.net"	product matrix	127094	252.757	73.289
"s.thebrighttag.com"	directCheckout	126670	216.032	5.969
"recs.richrelevance.com"	search	126269	471.878	56.878
"akam"	homepage	125899	395.712	3513.048
"apps.zineone.com"	sale event landing	125511	304.860	3.423
"recs.richrelevance.com"	Product Detail Page	125485	634.801	59.398
"s.thebrighttag.com"	myaccount	124024	192.833	2.513
"gpt"	Product Detail Page	123301	242.498	3726.784
"nova.collect.igodigital.com"	product matrix	122629	684.778	76.385
"sc-static.net"	dsign-in	122485	133.060	46.630
"s.thebrighttag.com"	password reset	122369	244.750	28.858
"media.richrelevance.com"	product matrix	121966	302.970	41.335
"adservice.google.com"	NULL	120712	270.517	1527.126
"device.4seeresults.com"	Product Detail Page	120473	1041.833	0.000
"securepubads.g.doubleclick.net"	more like this	119796	199.128	1414.807
"ad.tagdelivery.com"	Product Detail Page	119788	733.591	46.653
"b.hlserve.com"	departments	118290	676.111	15.698
"s.thebrighttag.com"	more like this	118240	130.668	2.489
"truefitcorp.com"	Product Detail Page	116322	216.985	4045.752
"pps.zineone.com"	search	114919	265.454	23.843
"dpm.demdex.net"	dsign-in	114720	280.889	34.197
"www.googletagservices.com"	dsign-in	113850	157.256	3164.910
"d2p4r375zfkzm8.cloudfront.net"	dsign-in	112438	295.504	25.904
"maps.gstatic.com"	search	111589	204.740	21.586
"6249496.collect.igodigital.com"	dsign-in	111534	79.984	28.890
"d.impactradius-event.com"	dsign-in	110888	173.331	30.267
"s.yimg.com"	dsign-in	110881	100.912	29.152
"triad-d.openx.net"	search	110648	838.950	165.597
"rp.liadm.com"	dsign-in	110588	500.399	30.400
"sp.analytics.yahoo.com"	dsign-in	109728	414.648	28.277
